Type2,fin_year,prop
1,1999,0.195460079693034
1,2000,0.186921932889214
1,2001,0.168084112525872
1,2002,0.154758818416116
1,2003,0.152196457914917
1,2004,0.13935508394905
1,2005,0.141203998471922
1,2006,0.137897263504481
1,2007,0.141911316559196
1,2008,0.140570714456095
1,2009,0.133790378858311
1,2010,0.145412398311104
1,2011,0.152651200899208
1,2012,0.164684616298818
1,2013,0.159016864610278
1,2014,0.161969353451646
1,2015,0.159795604078293
1,2016,0.153645385141085
1,2017,0.15084708931259
1,2018,0.14292425259574
1,2019,0.138984552023441
1,2020,0.187363158501237
1,2021,0.201012233347147
1,2022,0.148893439122415
1,2023,0.141526320485065
1,2024,0.140860671068769
2,1999,0.152952516233766
2,2000,0.151531685337886
2,2001,0.156788840835327
2,2002,0.16098851661507
2,2003,0.16698557604528
2,2004,0.164789253435514
2,2005,0.160581943206418
2,2006,0.163156297785028
2,2007,0.16809667068348
2,2008,0.164781742945148
2,2009,0.155732655645141
2,2010,0.158765397670578
2,2011,0.162483196469045
2,2012,0.162112167949057
2,2013,0.166452498168906
2,2014,0.162813341767294
2,2015,0.159348724330196
2,2016,0.161308271606382
2,2017,0.165198915081812
2,2018,0.172711895677358
2,2019,0.175355569168998
2,2020,0.16504303582034
2,2021,0.159734131336189
2,2022,0.170716477103528
2,2023,0.17437370763499
2,2024,0.170860889888746
3,1999,0.325565414698937
3,2000,0.325781243124797
3,2001,0.342345389676806
3,2002,0.343769539292087
3,2003,0.334989958006208
3,2004,0.344423590582502
3,2005,0.337396536355533
3,2006,0.334628129215222
3,2007,0.332461323099273
3,2008,0.331388776536718
3,2009,0.358850445642118
3,2010,0.319672416873276
3,2011,0.311037732547487
3,2012,0.313202295651374
3,2013,0.314918551071306
3,2014,0.319891116623194
3,2015,0.324489697703038
3,2016,0.32211025132463
3,2017,0.314746999975855
3,2018,0.308957068150493
3,2019,0.30924590551123
3,2020,0.302380298116605
3,2021,0.307212019498257
3,2022,0.313463638273363
3,2023,0.314183462471019
3,2024,0.327125445324703
4,1999,0.326021989374262
4,2000,0.335765138648104
4,2001,0.332781656961995
4,2002,0.340483125676727
4,2003,0.345828008033595
4,2004,0.351432072032935
4,2005,0.360817521966128
4,2006,0.36431830949527
4,2007,0.357530689658051
4,2008,0.363258766062039
4,2009,0.35162651985443
4,2010,0.376149787145042
4,2011,0.37382787008426
4,2012,0.360000920100751
4,2013,0.35961208614951
4,2014,0.355326188157867
4,2015,0.356365973888473
4,2016,0.362936091927903
4,2017,0.369206995629744
4,2018,0.375406783576409
4,2019,0.376413973296331
4,2020,0.345213507561819
4,2021,0.332041615818407
4,2022,0.366926445500694
4,2023,0.369916509408925
4,2024,0.361152993717783
