"result_level","chart","scenario","period","age","series","value_dollars"
"Primary individual","Average cash available","Selected scenario","Working-life average",,"Cash available to spend",71558.0959285396
"Primary individual","Average cash available","Selected scenario","Final five working years",,"Cash available to spend",97841.6930578048
"Primary individual","Average cash available","Selected scenario","Retirement average",,"Cash available to spend",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,20,"Spendable income",38487
"Primary individual","Lifecycle income","Selected scenario",,21,"Spendable income",39972
"Primary individual","Lifecycle income","Selected scenario",,22,"Spendable income",41334.7125
"Primary individual","Lifecycle income","Selected scenario",,23,"Spendable income",42735.2345625
"Primary individual","Lifecycle income","Selected scenario",,24,"Spendable income",44198.7801178125
"Primary individual","Lifecycle income","Selected scenario",,25,"Spendable income",45728.1852231141
"Primary individual","Lifecycle income","Selected scenario",,26,"Spendable income",47326.4135581542
"Primary individual","Lifecycle income","Selected scenario",,27,"Spendable income",48996.5621682711
"Primary individual","Lifecycle income","Selected scenario",,28,"Spendable income",50741.8674658433
"Primary individual","Lifecycle income","Selected scenario",,29,"Spendable income",52565.7115018063
"Primary individual","Lifecycle income","Selected scenario",,30,"Spendable income",54471.6285193875
"Primary individual","Lifecycle income","Selected scenario",,31,"Spendable income",56506.5744750027
"Primary individual","Lifecycle income","Selected scenario",,32,"Spendable income",58634.8303263778
"Primary individual","Lifecycle income","Selected scenario",,33,"Spendable income",60858.8576910648
"Primary individual","Lifecycle income","Selected scenario",,34,"Spendable income",63182.9662871627
"Primary individual","Lifecycle income","Selected scenario",,35,"Spendable income",64154.4436803316
"Primary individual","Lifecycle income","Selected scenario",,36,"Spendable income",65143.4076665776
"Primary individual","Lifecycle income","Selected scenario",,37,"Spendable income",66150.173004576
"Primary individual","Lifecycle income","Selected scenario",,38,"Spendable income",67175.0601186584
"Primary individual","Lifecycle income","Selected scenario",,39,"Spendable income",68218.3952007942
"Primary individual","Lifecycle income","Selected scenario",,40,"Spendable income",69280.5103144085
"Primary individual","Lifecycle income","Selected scenario",,41,"Spendable income",70361.7435000679
"Primary individual","Lifecycle income","Selected scenario",,42,"Spendable income",71462.4388830691
"Primary individual","Lifecycle income","Selected scenario",,43,"Spendable income",72582.9467829644
"Primary individual","Lifecycle income","Selected scenario",,44,"Spendable income",73723.6238250577
"Primary individual","Lifecycle income","Selected scenario",,45,"Spendable income",74884.8330539088
"Primary individual","Lifecycle income","Selected scenario",,46,"Spendable income",76066.9440488791
"Primary individual","Lifecycle income","Selected scenario",,47,"Spendable income",77270.3330417589
"Primary individual","Lifecycle income","Selected scenario",,48,"Spendable income",78495.3830365106
"Primary individual","Lifecycle income","Selected scenario",,49,"Spendable income",79742.4839311678
"Primary individual","Lifecycle income","Selected scenario",,50,"Spendable income",81012.0326419288
"Primary individual","Lifecycle income","Selected scenario",,51,"Spendable income",82304.4332294835
"Primary individual","Lifecycle income","Selected scenario",,52,"Spendable income",83620.0970276142
"Primary individual","Lifecycle income","Selected scenario",,53,"Spendable income",84959.4427741113
"Primary individual","Lifecycle income","Selected scenario",,54,"Spendable income",86322.8967440453
"Primary individual","Lifecycle income","Selected scenario",,55,"Spendable income",87402.4492984619
"Primary individual","Lifecycle income","Selected scenario",,56,"Spendable income",88497.1155886404
"Primary individual","Lifecycle income","Selected scenario",,57,"Spendable income",89607.1072068814
"Primary individual","Lifecycle income","Selected scenario",,58,"Spendable income",90732.6387077777
"Primary individual","Lifecycle income","Selected scenario",,59,"Spendable income",91873.9276496866
"Primary individual","Lifecycle income","Selected scenario",,60,"Spendable income",93031.1946367822
"Primary individual","Lifecycle income","Selected scenario",,61,"Spendable income",94204.6633616971
"Primary individual","Lifecycle income","Selected scenario",,62,"Spendable income",95394.5606487609
"Primary individual","Lifecycle income","Selected scenario",,63,"Spendable income",96601.1164978436
"Primary individual","Lifecycle income","Selected scenario",,64,"Spendable income",97824.5641288134
"Primary individual","Lifecycle income","Selected scenario",,65,"Spendable income",99065.1400266167
"Primary individual","Lifecycle income","Selected scenario",,66,"Spendable income",100323.083986989
"Primary individual","Lifecycle income","Selected scenario",,67,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,68,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,69,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,70,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,71,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,72,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,73,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,74,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,75,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,76,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,77,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,78,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,79,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,80,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,81,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,82,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,83,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,84,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,85,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,86,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,87,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,88,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,89,"Spendable income",75703.8864000605
"Primary individual","Lifecycle income","Selected scenario",,90,"Spendable income",75703.8864000605
