Statistic,Productivity,Unemployment,Job-Finding Rate,Separation Rate,UE Transition Rate,EU Transition Rate,Vacancies,Vacancy-to-Unemployment Ratio,Net Wage,Bargained Wage,Output,Market Tightness,OJS Probability,Search Effort,Job-to-Job Transitions,J2J Transition Rate,b
Mean,0.9977595173220832,0.03928521183911812,0.4109294502927289,0.01680000000000117,0.01613995817328,0.01614000865311939,0.11985175048926093,3.0539944296073855,1.0546034104595086,0.9827356528505038,0.9585784699469067,1.2546553842440913,0.05619410814334947,0.0954793199824677,0.023101041429609847,0.024045140203545888,0.45
Mean,0.9979660132305109,0.03950417030723798,0.4085619758332526,0.016800000000018866,0.016136278480830747,0.016136330155891797,0.11898115910665447,3.015117528586117,1.0547605947916514,0.9830373843185501,0.95855873936987,1.2307661769511846,0.057120592422787025,0.09662476273002503,0.02334676192176213,0.02430642598926182,0.46
Mean,0.9983745959841724,0.03972855989635072,0.40616295997926666,0.01680000000025872,0.01613250749354414,0.0161325604162649,0.11877006923835041,2.992772429253654,1.054918946517905,0.9834817439723638,0.9587275278506687,1.206886779692803,0.058645779906396106,0.09837433980274693,0.02382791990921424,0.02481320432377749,0.47
Mean,0.998626796545282,0.0399586253464355,0.40373135158822043,0.016800000002980195,0.016128641099149448,0.016128695324785378,0.11800211140820378,2.9565106242890367,1.0550784857031845,0.9838178235504219,0.9587404364152191,1.1830173610817194,0.05973996430909331,0.09969858965552877,0.024128662300999765,0.025132335269840482,0.48
Mean,0.9989020257629553,0.04019462828107333,0.40126603563743063,0.016800000022261757,0.016124674911469624,0.01612473049969186,0.11727148009666602,2.920954507916945,1.0552392249076472,0.9841712232072533,0.9587693187287069,1.1591580266654344,0.06094217623712406,0.10113680451819726,0.02446200369747472,0.025485866887678787,0.49
Mean,0.9992868234369967,0.04043684796229765,0.398765838055087,0.01680000014212274,0.016120604316548593,0.016120661329914923,0.11689035128430193,2.894276592559168,1.055401180573406,0.9846025372448428,0.9588971465188332,1.135308914612971,0.062470927309940034,0.1029077752722378,0.024921667340312398,0.025971224650509706,0.5
Mean,0.9994809720701512,0.04068558386738168,0.3962295171417736,0.016800000765902476,0.016116424669462306,0.01611648317065529,0.11583052087529357,2.8505921648706227,1.0555643688499567,0.9849016295646026,0.9588353132928709,1.1114701606344173,0.06348212058235499,0.10416770444973662,0.02516337955327132,0.026229922682320786,0.51
Mean,0.999904396206474,0.040941158991870126,0.39365575825288746,0.016800003248734464,0.016112131849915327,0.016112191893557726,0.1154964383849743,2.8247256780101577,1.0557288051043803,0.9853624627144547,0.9589864690265165,1.0876418938648786,0.06520645294979853,0.10614761194166861,0.025678495166672113,0.026774006927412046,0.52
Mean,1.0001166845639888,0.04120393431818397,0.39104317024816865,0.01680001505857958,0.016107727016246663,0.016107788585187067,0.11444067909281587,2.7812707595433723,1.0558945070204888,0.9856767664808187,0.9589278440930026,1.0638242629077939,0.06631836344256548,0.10752229776074951,0.025944321692487386,0.02705852168961707,0.53
Mean,1.0004194060667997,0.04147431575131189,0.38839027480078425,0.01680005130691294,0.016103217968387925,0.016103280886946503,0.11362980003732169,2.74353125874956,1.0560614899494496,0.9860556544617484,0.9589480804716789,1.04001739676461,0.06775786830913832,0.10923218406045022,0.02632447838128544,0.027462853494783022,0.54
Mean,1.0007147364171296,0.041752791722480635,0.38569551071000546,0.01680014932325753,0.016098632621066186,0.016098696308541795,0.11278027694617483,2.7051183998139128,1.0562297791168047,0.9864306748743348,0.958953161254085,1.0162215074146648,0.06918545454326644,0.11093824626574708,0.02669461823132293,0.027856991864914794,0.55
Mean,1.001090003602235,0.04204013358967882,0.38295720632508495,0.01680044603055066,0.01609409047646256,0.01609415284419718,0.11213138832142998,2.6712586621044334,1.0563993888024825,0.9868629715895854,0.9590257270998066,0.9924367148573272,0.07091783979770572,0.11295797338738474,0.027167242355768645,0.028358739170210864,0.56
Mean,1.0013456191513899,0.0423376572061757,0.3801735929431379,0.0168012809947488,0.01608989825412083,0.016089953108471812,0.11108061116165069,2.6279222823176247,1.0565703458411202,0.9872128595126336,0.9589734791153378,0.9686632445937781,0.0722922480216492,0.11462990522782496,0.027494435852692737,0.028709089688217556,0.57
Mean,1.0014928142587571,0.042646591279630705,0.3773460520151241,0.01680307622834059,0.01608644382874635,0.016086479636026545,0.10965271069946098,2.5755401337045907,1.0567459336520746,0.9874914838987439,0.9588058859922,0.944928688383316,0.07335687456730955,0.11600346584694057,0.027691562247273524,0.028924234267171865,0.58
Mean,1.001704232019158,0.04297152377991818,0.374466216331868,0.016807136470735312,0.016084911569812524,0.016084901386599033,0.10838809454651725,2.526873167297711,1.056919785532629,0.9878133282115801,0.9586838977968198,0.9211795445224215,0.07464936735148216,0.11762089113140049,0.027964763007267333,0.029219458879392462,0.59
Mean,1.0019699525203052,0.04331892050430884,0.3715351084746012,0.01681585899368302,0.016087513353971076,0.016087398378315,0.10723340513509519,2.48011993276851,1.057095153154248,0.9881747001839996,0.95859151207958,0.8974431379814095,0.07615247346273324,0.11947139396704218,0.02830212947918438,0.029582743266996756,0.6
Mean,1.002252793611452,0.04369972792539492,0.3685504726798337,0.01683314919506478,0.016097834981501507,0.016097509385215127,0.10609607081872054,2.4330475375858955,1.057272112337386,0.9885496481309448,0.9584826966081658,0.873720105906948,0.07769638101429037,0.12139610893968512,0.028646573880262934,0.029954490134663662,0.61
Mean,1.0026232950435026,0.044124954587250444,0.3655099402751596,0.016862811582957788,0.01611937217139916,0.016118667181373694,0.10513720478403743,2.3884376960466214,1.05745078797034,0.9889876747663313,0.9584136750226386,0.8500114977805017,0.07955068611828256,0.12367564070553289,0.02908682899319498,0.030428316490321215,0.62
Mean,1.0027600167840542,0.044632361228650164,0.36241102001316416,0.01691881876963532,0.016164962878260393,0.016163537106576097,0.103417746592844,2.323723840327114,1.0576313551268655,0.9892639471412408,0.958040297817855,0.8263187848101333,0.08052124047083545,0.12515360169948572,0.02919219626134821,0.030554559951388963,0.63
Mean,1.0030842904630468,0.045241025793710934,0.35925114349907095,0.01700756133607691,0.016240400587077767,0.016237813082995524,0.10216447169743839,2.266394285456294,1.0578140887469971,0.9896736723366695,0.9577463432430013,0.8026442774162711,0.08202812112733865,0.12726914692104926,0.029482895574562625,0.030877963459535234,0.64
Mean,1.0033072627685031,0.046031122624446454,0.3560319374595759,0.017158442759377047,0.01637251921348087,0.016367962067495235,0.10048090949960044,2.193319467591435,1.0580030218719516,0.9900186860754397,0.9571772006251797,0.7790218667015982,0.08295953218161921,0.12899065480606592,0.029551505108990905,0.030974843061096696,0.65
Mean,1.0037940047389524,0.047092965850367735,0.3527432369411769,0.017403669070270456,0.016590604293505243,0.016582743788534464,0.09935238819403998,2.1234878128953207,1.0581921840296442,0.9905485676124517,0.9565907134863044,0.755401380631795,0.0844671343303794,0.13156010018074696,0.02981232180989267,0.031282098067584994,0.66
Mean,1.0042796403088643,0.0484253052229368,0.34938595964810876,0.017740308495583088,0.016890858863525652,0.01687855043681311,0.09806005723606864,2.043739648460719,1.0583854073458556,0.991081735827603,0.9557360655849397,0.7318150219445055,0.08562603974914947,0.1340513449720862,0.029938936674595913,0.03145709287391713,0.67
Mean,1.0047762271820149,0.05029493008662229,0.3459577191650246,0.018266280801214188,0.01736153172075329,0.017342337715159667,0.09650008439175817,1.9440652272568169,1.058583789597099,0.991627728890048,0.9543582158149322,0.7082720156524276,0.0860475066416752,0.13634243672829743,0.02979715270302797,0.03136700740782137,0.68
Mean,1.0054668564244544,0.05272608147253443,0.342456397639763,0.018986932015771053,0.018004479661349257,0.017976074885713917,0.0951872007364848,1.8394288346437282,1.0587887903378803,0.9923161701005385,0.9526060231371126,0.6847846269194953,0.08640021711322467,0.1391262985857587,0.029627257762601066,0.03126345369243692,0.69
Mean,1.00628948083145,0.056027190213471564,0.33888913689827255,0.020014808818891477,0.018916569577869854,0.01887554229793583,0.09381498574914966,1.7188639984338836,1.0590089853027682,0.9931122021503241,0.9501108932536012,0.6614249207420987,0.08600974661950594,0.14203693683297747,0.02919760387394248,0.030910603212718483,0.7
Mean,1.0073096046073249,0.060214183069947184,0.3352388836660493,0.021352634987672627,0.020092877327460155,0.02003615959007425,0.09256167843875998,1.591776213873677,1.0592345974593362,0.9940519009500023,0.9469109415901205,0.6381107371838207,0.08514604372565797,0.14536022679560515,0.028606376690589925,0.030409657387998924,0.71
Mean,1.008527685523339,0.06535831889287895,0.33152316530125114,0.023027989851297344,0.021547856828621932,0.02147308071423124,0.09144759643753415,1.4630122287031624,1.0594818301482267,0.9951517902800993,0.9429293756042731,0.6149782387711326,0.08370715217916705,0.14906547107204596,0.02783386332438622,0.029734613705169492,0.72
