y0,y1,d_actual,d_hat,unexplained,0_14,15_34,35_54,55_64,65p,t,fun
1999,2000,5.52316048498536e-05,0.0819585054502821,-0.0819032738454322,0.00464175447336229,0.0260789721669018,0.0164026919770089,0.0165115607747019,0.00538493372991075,0.0129385923283964,011 Executive and legislative organs financial and fiscal affairs external affairs
2000,2001,-5.52316048498536e-05,0.0609730335184279,-0.0610282651232778,0.00462509029897447,0.0143476629999577,0.013963120484007,0.0113930424195304,0.00770224098344077,0.00894187633251754,011 Executive and legislative organs financial and fiscal affairs external affairs
2001,2002,0,-0.0703169618300174,0.0703169618300174,-0.00323648711931425,-0.00476948262467335,-0.0225913613027489,-0.0256009818858955,-0.00517654865607139,-0.00894210024131403,011 Executive and legislative organs financial and fiscal affairs external affairs
2002,2003,9.11857215371031e-05,-0.0414465696857657,0.0415377554073028,-0.00254672293499452,-0.0039353859188127,-0.0122436029097261,-0.0138807469817353,-0.00404293822180963,-0.00479717271868746,011 Executive and legislative organs financial and fiscal affairs external affairs
2003,2004,7.87229832838376e-05,0.00867083509082984,-0.008592112107546,0.000714916126096974,0.00440143652632013,0.0010099889033458,-0.000722416613112336,0.00125662040906134,0.00201028973911793,011 Executive and legislative organs financial and fiscal affairs external affairs
2004,2005,-5.13649183411842e-05,0.00476592756197324,-0.00481729248031442,0.000522274412094302,0.0011158143987169,0.00124152430533814,-0.00083951615834897,0.0014752276938208,0.00125060291035206,011 Executive and legislative organs financial and fiscal affairs external affairs
2005,2006,-4.57500078601803e-05,0.0377790085523818,-0.0378247585602419,0.000943286831326936,0.0105196201146962,0.00898047411975365,0.0100950132121881,0.000327184159808264,0.0069134301146086,011 Executive and legislative organs financial and fiscal affairs external affairs
2006,2007,-6.01447365393685e-06,0.0230952724809519,-0.0231012869546058,-0.000175657308839084,0.00402725561061939,0.00658194536344661,0.00850268934096277,-0.000990315826793242,0.00514935530155541,011 Executive and legislative organs financial and fiscal affairs external affairs
2007,2008,-5.28951208411494e-06,-0.0436007148952236,0.0435954253831395,-0.00718044843767083,-0.00846725217074867,-0.00918745002688954,-0.00243763301381897,-0.013875257961793,-0.00245267328430259,011 Executive and legislative organs financial and fiscal affairs external affairs
2008,2009,0.0119188397781216,-0.0339437439458866,0.0458625837240082,-0.00535941867653075,-0.0201509434181565,-0.00103205548158676,0.00287383502707256,-0.00774850885631289,-0.00252665254037223,011 Executive and legislative organs financial and fiscal affairs external affairs
2009,2010,-5.58844762057354e-05,0.0106162938456641,-0.0106721783218699,0.00258568099338052,-0.00533257345559284,0.00402616283397483,0.000670358312806369,0.00690419762960151,0.00176246753149374,011 Executive and legislative organs financial and fiscal affairs external affairs
2010,2011,0.00591237519320515,0.0246459817515261,-0.018733606558321,0.00523119263314649,-0.000701544809092875,0.00556466990541148,-0.000331268128475902,0.0118515565855757,0.00303137556496118,011 Executive and legislative organs financial and fiscal affairs external affairs
2011,2012,-0.00305524230840691,0.0412951918567858,-0.0443504341651927,0.00487421636744095,-0.0010133279343844,0.0110767179690094,0.00903528558081254,0.0106270949517048,0.00669520492220247,011 Executive and legislative organs financial and fiscal affairs external affairs
2012,2013,-4.7833662878069e-05,0.00237972276282821,-0.00242755642570628,0.000784797450819058,0.00296664614973657,-0.00362005258857645,-0.00183151986935808,0.00101133748991412,0.00306851413029299,011 Executive and legislative organs financial and fiscal affairs external affairs
2013,2014,-0.00355279016236488,-0.00162882224238281,-0.00192396791998207,0.00130432371471147,0.00426031227691191,-0.00591037000163486,-0.00546270802531433,0.0020266246961792,0.00215299509676379,011 Executive and legislative organs financial and fiscal affairs external affairs
2014,2015,0.00047311592058763,0.00743951491664857,-0.00696639899606094,0.00187197556295691,0.0057678737405156,-0.00342280150686696,-0.00307007904020131,0.00295430164024616,0.00333824451999817,011 Executive and legislative organs financial and fiscal affairs external affairs
2015,2016,-0.00123376455568024,0.00965816600581307,-0.0108919305614933,0.00160561598244365,0.0132747072515564,-0.00638824869429977,-0.00427652419745204,0.000859923455915501,0.00458269220764929,011 Executive and legislative organs financial and fiscal affairs external affairs
2016,2017,0.00577962604128876,0.039967138441986,-0.0341875124006972,0.00326041510183521,0.0107198769067007,0.00649085720769771,0.00691543163841353,0.005007493700001,0.00757306388733777,011 Executive and legislative organs financial and fiscal affairs external affairs
2017,2018,0.280087946513599,0.0789189260480917,0.201169020465507,0.00724093323873753,0.0111339768703324,0.0193792466141249,0.01615909129987,0.0136272930367205,0.0113783849883064,011 Executive and legislative organs financial and fiscal affairs external affairs
2018,2019,0.0213757727199346,0.0947312938555706,-0.073355521135636,0.00911485522615762,0.0115273587572237,0.0244165327703503,0.0192244221379041,0.0176823362160761,0.0127657887478588,011 Executive and legislative organs financial and fiscal affairs external affairs
1999,2000,-0.0019441971148524,0.00298914910725114,-0.00493334622210354,0.000235652785568697,0.00150266332717866,-0.00125875841297799,0.000460774089266611,0.000452873290294297,0.00159594402792086,013 General services
2000,2001,-0.0036858692519691,-0.000290809749015762,-0.00339505950295334,-0.000637880934352562,0.000600772177436172,-0.00113867299784263,0.000138759942979315,5.5711644508572e-05,0.000690500418255367,013 General services
2001,2002,0.00684890010672222,-0.00531673937250042,0.0121656394792226,-0.000184105133704252,-0.000652528474132623,-0.000313743418308816,-0.00220161644760039,-0.000864269701000705,-0.00110047619775364,013 General services
2002,2003,-0.00925074249976553,-0.00418183484319095,-0.00506890765657458,-0.000467879713438825,-0.000567369125416759,-0.000447412648476232,-0.00135356251784712,-0.000748741360168647,-0.00059686947784337,013 General services
2003,2004,-0.00395006554884595,-0.00215611947672442,-0.00179394607212152,-0.000559543906909591,-2.00777725415516e-05,-0.000758015125481065,-0.000539943614022633,-0.000356894528842329,7.83554710727449e-05,013 General services
2004,2005,-0.0042534399919453,-0.0029335927546425,-0.00131984723730281,-0.000818371963268646,-0.000265373445559449,-0.000742498627434521,-0.000532678491274036,-0.000473959122092832,-0.000100711105013012,013 General services
2005,2006,-0.00104051113490958,0.00089794981263371,-0.00193846094754329,-0.000170426704188982,0.000529808265467482,-0.000765965339211334,0.000306261954503355,1.28078121232635e-05,0.000985463823939926,013 General services
2006,2007,0.00739101857269427,0.00131416366655559,0.00607685490613868,-0.000112924227569542,0.000232295353774556,-0.000286063058310223,0.000478502393475459,7.97378859946901e-05,0.00092261531919065,013 General services
2007,2008,-0.00035209374689911,0.00163939320168846,-0.00199148694858757,0.000555351196682102,-0.00031593199529091,0.000564456466606364,0.000209620276284566,-0.000191650995328021,0.000817548252734357,013 General services
2008,2009,0.00138149260230886,-0.00109933887436755,0.00248083147667641,-0.000779901262035196,-0.00122883325426639,0.000555594906380245,0.000620052116835749,-0.000458905672694998,0.000192654291413042,013 General services
2009,2010,-0.00349828697254272,-0.0015772256382031,-0.00192106133433962,-0.000884150583752638,-0.000509584123921406,-1.09638837377053e-05,-1.5397675340319e-05,-1.06296178154688e-05,-0.000146499753635559,013 General services
2010,2011,-0.00339549249217816,-0.00189341919273852,-0.00150207329943964,-0.000952351103834443,-0.000299249845222562,-0.000208470711230677,-0.000252952582077238,0.000117193735105089,-0.00029758868547869,013 General services
2011,2012,0.00109245377481954,0.00291795046036193,-0.00182549668554239,-0.000229074505848549,7.36679145835493e-05,0.000580415660259135,0.000949524323247687,0.000832847150528012,0.000710569917592092,013 General services
2012,2013,-0.000425198693137079,0.00536179014066105,-0.00578698883379813,0.00121529022228544,0.000586032022327362,0.00105544896049061,0.000405613006164229,0.00100340028563791,0.0010960056437555,013 General services
2013,2014,0.0210538022029548,0.00441444993365836,0.0166393522692965,0.00115976991705212,0.000585184577032285,0.000903186231719283,1.96401142061976e-05,0.000907363505811083,0.000839305587837389,013 General services
2014,2015,-0.000778819865619288,0.00458208316619682,-0.00536090303181611,0.00109725146051425,0.000666291174007667,0.000800956404591876,0.000141903259353366,0.000941159513519521,0.000934521354210138,013 General services
2015,2016,-0.00199431217571985,0.00733446397242706,-0.00932877614814691,0.0020307199850103,0.00132620366320314,0.00100019585146602,0.000151506841463631,0.00133852347833627,0.0014873141529477,013 General services
2016,2017,0.00144570172537234,0.00451605117667628,-0.00307034945130394,0.000681279163215477,0.0008692988884838,0.000238367510962342,0.000590887612744139,0.000879271064821782,0.00125694693644874,013 General services
2017,2018,0.0216393461078963,0.00230566603962529,0.019333680068271,-0.000502593810900918,0.000623197066504693,-0.000398749374849703,0.000907818386365986,0.000712610944545625,0.000963382827959607,013 General services
2018,2019,-0.00869181660600738,0.00104761987557228,-0.00973943648157967,-0.00104729188517927,0.000504780091393202,-0.000718774523458218,0.000942615911346085,0.00060833501993448,0.000757955261536008,013 General services
1999,2000,0,0.0120035179035825,-0.0120035179035825,0.000749962767436517,0.00409357467777803,0.00226223118011513,0.00224775113146107,0.000801395380986188,0.00184860276580554,014 Basic research
2000,2001,0,0.00861558238862349,-0.00861558238862349,0.000615306882219945,0.00222766765174999,0.00191518555146223,0.00154476452520245,0.00107469475546753,0.00123796302252135,014 Basic research
2001,2002,0,-0.0098042336863964,0.0098042336863964,-0.000414356682776481,-0.00076298277014359,-0.00309135306561452,-0.00351839486436239,-0.000724262886836748,-0.00129288341666267,014 Basic research
2002,2003,0,-0.00593117290165468,0.00593117290165468,-0.000372320597958905,-0.000639318159292934,-0.00168765399623715,-0.00192822702582723,-0.000582871854313376,-0.000720781268025089,014 Basic research
2003,2004,0,0.00115752308239416,-0.00115752308239416,7.12498394104654e-05,0.000667148747846182,0.000131605686384772,-0.000123147013596247,0.000163140075986268,0.000247525746362717,014 Basic research
2004,2005,0,0.000466728095660397,-0.000466728095660397,3.8659948230703e-06,0.000144740950815622,0.000157128121195842,-0.000143299931850194,0.000178066646427605,0.000126226314248451,014 Basic research
2005,2006,0,0.00535451472481451,-0.00535451472481451,0.000142820834876982,0.00163483395554342,0.00122054640651559,0.00135028725841943,4.95642747851135e-05,0.000956461994673977,014 Basic research
