name,PC1,PC2,cluster
01 General Public Service,-0.561254082082578,1.2011810261696,1
02 Defence,-0.741507829529086,0.8618797729117,1
03 Public Order,-0.892626107076653,-2.16372237689744,2
04 Economic Affairs,4.96589837187511,-1.44553769881643,3
05 Environmental Protection,-1.38814643165995,-0.252377345801061,4
06 Amenities,-0.312072413741624,0.874647013021229,1
071 Medical products appliances and equipment,-0.792994329508622,0.126961102879002,4
08 Culture,-1.20196504594393,-1.07364198122308,4
091 Pre-primary and primary education,-0.681442936841356,1.96844354869384,1
092 Secondary education,-0.846473683121599,0.525703389404194,4
093 Tertiary education,-1.44486700252856,-0.284358826925908,4
100 Sickness and disability,0.568585760378856,0.562819281800518,1
101 Old age,-0.714881977796435,-1.66058787863163,2
103 Family and children,-1.31098999417686,0.0195729539849574,4
104 Unemployment,3.51938604071056,0.0821495050323022,3
105 Housing,1.17915257920663,-1.36997190549184,5
106 Other Social Protection,4.55986469524155,1.43618534672256,3
11 Transport,-0.788983213953706,0.873660388042881,1
73 Hospitals,-0.897595065890051,0.978287502375987,1
74 Other Health,-1.03160079819728,0.238847884414995,4
94 Other Education,-1.18548653536441,-1.50014070166638,2
