Moment,CurrentUseIn13,CurrentValue,RecommendedUse,CentralValue,Low,High,Availability,Source,URL,Notes
JFR: NZ pre,Direct calibration target,0.1002,Keep as primary empirical moment from the paper/sample.,0.1002,,,Paper/sample estimate,"COVID Labour Supply NZ/AUS working paper, Table 3 reduced-form regression cell",local paper: COVID_Labour_Supply__NZ_Aus_ (9).pdf,These are the JFR targets already embedded in Targets().
JFR: AUS pre,Direct calibration target,0.0868,Keep as primary empirical moment from the paper/sample.,0.0868,,,Paper/sample estimate,"COVID Labour Supply NZ/AUS working paper, Table 3 reduced-form regression cell",local paper: COVID_Labour_Supply__NZ_Aus_ (9).pdf,These are the JFR targets already embedded in Targets().
JFR: NZ post,Direct calibration target,0.0823,Keep as primary empirical moment from the paper/sample.,0.0823,,,Paper/sample estimate,"COVID Labour Supply NZ/AUS working paper, Table 3 reduced-form regression cell",local paper: COVID_Labour_Supply__NZ_Aus_ (9).pdf,These are the JFR targets already embedded in Targets().
JFR: AUS post,Direct calibration target,0.0518,Keep as primary empirical moment from the paper/sample.,0.0518,,,Paper/sample estimate,"COVID Labour Supply NZ/AUS working paper, Table 3 reduced-form regression cell",local paper: COVID_Labour_Supply__NZ_Aus_ (9).pdf,These are the JFR targets already embedded in Targets().
Separation: NZ pre,Direct calibration target,0.048,Keep as primary empirical moment from the paper/sample.,0.048,,,Paper/sample estimate,"COVID Labour Supply NZ/AUS working paper, Table 4",local paper: COVID_Labour_Supply__NZ_Aus_ (9).pdf,Used to fit the pre separation function.
Separation: AUS pre,Direct calibration target,0.0484,Keep as primary empirical moment from the paper/sample.,0.0484,,,Paper/sample estimate,"COVID Labour Supply NZ/AUS working paper, Table 4",local paper: COVID_Labour_Supply__NZ_Aus_ (9).pdf,Used to fit the pre separation function.
Separation: NZ post,Direct calibration target,0.055,Keep as primary empirical moment from the paper/sample.,0.055,,,Paper/sample estimate,"COVID Labour Supply NZ/AUS working paper, Table 4",local paper: COVID_Labour_Supply__NZ_Aus_ (9).pdf,Used to infer the common health/work-disutility component through NZ post separations.
Separation: AUS post,Diagnostic target; compared to model-implied separation DiD,0.0926,Use to discipline whether assumed differential health shocks are plausible.,0.0926,,,Paper/sample estimate,"COVID Labour Supply NZ/AUS working paper, Table 4",local paper: COVID_Labour_Supply__NZ_Aus_ (9).pdf,Used as an external plausibility check for R differential health/work-disutility assumptions.
Matching elasticity wrt unemployed/jobseekers,Model parameter: match_elasticity,0.42,Use as baseline and sensitivity range for match_elasticity.,0.326,0.33,0.5,Australian literature,"Lake, Shamiri, Sharma and Bialowas 2024, ABS/RBA conference paper",https://www.rba.gov.au/publications/other-confs/abs-and-rba-joint-conferences/2024/pdf/abs-rba-conference-2024-lake-shamiri-sharma-bialowas.pdf,Paper reports unemployed elasticity about 0.326; current model uses 0.42 as a CRS-normalized baseline from previous 12b convention.
Matching elasticity wrt vacancies,Implicit counterpart to match_elasticity under CRS normalization,0.58,Use as cross-check because Australian estimates imply vacancies matter more than unemployed stocks.,0.45,0.45,0.67,Australian literature,"Lake, Shamiri, Sharma and Bialowas 2024, ABS/RBA conference paper",https://www.rba.gov.au/publications/other-confs/abs-and-rba-joint-conferences/2024/pdf/abs-rba-conference-2024-lake-shamiri-sharma-bialowas.pdf,Paper reports vacancy elasticity 0.450; useful because the sum of reported elasticities is below one.
Matching efficiency level,"Benchmark for matching efficiency, not a direct level target",,Use only to benchmark changes in mu; model mu is normalized.,0.841,,,Australian literature,"Lake, Shamiri, Sharma and Bialowas 2024, ABS/RBA conference paper",https://www.rba.gov.au/publications/other-confs/abs-and-rba-joint-conferences/2024/pdf/abs-rba-conference-2024-lake-shamiri-sharma-bialowas.pdf,Reported efficiency is 0.841 over the study period; not directly comparable to weekly model mu.
Job-finding probability and labour-market tightness,Motivates using mu_post to fit NZ post JFR,,Estimate from ABS flows and vacancies for the exact population/time window.,,,,Australian data framework available; sample-specific moment should be estimated,"Australian Treasury Round Up 2024, matching across skills and regions",https://treasury.gov.au/sites/default/files/2024-03/p2024-495252-full-report_0.pdf,Treasury defines matching probability as hires from job searchers divided by previous-period job searchers and tightness as vacancies/searchers.
Monthly labour-force gross flows during COVID,Not directly used; useful validation for monthly transitions,,Use to validate model-implied JFR and separation flows in COVID months.,,,,Australian data article; exact sample-specific monthly flows should be estimated,"ABS, Flows into and out of employment and unemployment",https://www.abs.gov.au/articles/flows-and-out-employment-and-unemployment,ABS article reports May-June 2020 unemployed-to-employed flow of 21.5% and April-May 2020 of 19.3%; adapt carefully to sample frequency.
Annual job mobility,Not directly used; informs separation/job-to-job sensitivity,,Use as an upper-level benchmark for voluntary/job-to-job mobility.,0.08,0.075,0.096,Australian official statistic,"ABS, Job mobility February 2024",https://www.abs.gov.au/statistics/labour/jobs/job-mobility/feb-2024,"ABS reports 8% job mobility in 2024 and 9.6% in 2023; useful for voluntary/job-to-job margin, not direct job-loss separations."
Annual left/lost job and retrenchment rates,Not directly used; informs separation decomposition,,Use to distinguish quits/job-to-job changes from involuntary loss.,0.017,0.017,0.017,Australian official statistic,"ABS, Job mobility February 2024",https://www.abs.gov.au/statistics/labour/jobs/job-mobility/feb-2024,ABS reports 2.1 million left/lost a job and a 1.7% annual retrenchment rate in year ending Feb 2024.
Broad annual separation rate,Not directly used; informs plausible separation range,,Use as broad external check; not job-loser-specific weekly hazard.,0.2,0.08,0.25,"Australian literature, broad employee-separation concept",Sila 2019 OECD/HILDA job displacement paper,https://www.oecd.org/content/dam/oecd/en/publications/reports/2019/02/job-displacement-in-australia_531c1c06/eccc0b28-en.pdf,OECD/HILDA reports all moves out of jobs around 20% annually in Australia circa 2015/2016.
