"CPI Non-standard Trimmed Means and Weighted Percentiles for New Zealand (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","",""
"","Quarterly 5 percent trim","Quarterly 10 percent trim","Quarterly 10 percent trim - Tradables","Quarterly 10 percent trim - Non Tradables","Quarterly 15 percent trim","Quarterly 20 percent trim","Quarterly 25 percent trim","Quarterly 30 percent trim","Quarterly weighted 10th percentile","Quarterly weighted 25th percentile","Quarterly weighted median","Quarterly weighted median - Tradables","Quarterly weighted median - Non Tradables","Quarterly weighted 75th percentile","Quarterly weighted 90th percentile"
"2012Q1",0.5,0.5,-0.1,0.7,0.5,0.5,0.5,0.5,-1.9,0.0,0.4,0.2,0.6,1.2,3.0
"2012Q2",0.2,0.3,-0.3,0.6,0.3,0.3,0.3,0.3,-2.6,-0.3,0.3,0.0,0.4,0.9,2.8
"2012Q3",0.1,0.1,-0.5,0.5,0.1,0.1,0.2,0.2,-2.8,-0.9,0.3,-0.5,0.5,1.0,2.4
"2012Q4",0.0,0.0,-0.4,0.4,0.1,0.1,0.1,0.1,-2.7,-0.6,0.2,-0.3,0.3,0.7,2.1
"2013Q1",0.4,0.5,-0.2,0.7,0.5,0.5,0.5,0.5,-2.2,0.0,0.4,0.2,0.5,1.2,2.7
"2013Q2",0.0,0.0,-0.8,0.6,0.0,0.0,0.0,0.1,-2.6,-0.9,0.1,-0.8,0.3,0.8,2.6
"2013Q3",0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.5,-2.0,0.0,0.5,0.0,0.6,1.3,4.0
"2013Q4",0.3,0.2,0.0,0.5,0.2,0.2,0.3,0.3,-3.2,-0.3,0.3,0.0,0.3,1.1,2.7
"2014Q1",0.3,0.3,-0.6,0.8,0.3,0.3,0.4,0.4,-2.8,-0.1,0.4,0.0,0.4,1.1,2.4
"2014Q2",0.2,0.2,-0.2,0.4,0.2,0.2,0.2,0.2,-2.4,-0.4,0.1,-0.3,0.3,0.9,3.3
"2014Q3",0.3,0.3,-0.2,0.6,0.3,0.3,0.3,0.4,-2.2,-0.2,0.4,0.0,0.6,1.1,2.4
"2014Q4",-0.1,-0.1,-1.4,2.3,-0.1,0.0,0.0,0.1,-4.9,-0.5,0.1,-1.8,2.1,0.7,2.6
"2015Q1",-0.2,-0.1,-1.8,0.7,0.0,0.0,0.1,0.1,-4.6,-0.9,0.2,-0.8,0.5,0.8,3.1
"2015Q2",0.5,0.4,0.8,0.4,0.4,0.4,0.4,0.4,-2.6,0.0,0.4,0.4,0.4,1.2,2.9
"2015Q3",0.5,0.5,0.3,0.6,0.4,0.4,0.4,0.5,-2.0,-0.1,0.3,0.2,0.5,1.4,3.0
"2015Q4",-0.4,-0.3,-1.5,0.4,-0.2,-0.1,0.0,0.1,-6.0,-0.7,0.2,-0.6,0.4,0.9,1.8
"2016Q1",0.2,0.2,-0.8,0.7,0.3,0.4,0.4,0.4,-3.5,0.0,0.3,0.0,0.5,0.9,3.5
"2016Q2",0.4,0.4,0.2,0.6,0.4,0.5,0.5,0.5,-3.0,-0.1,0.3,0.1,0.4,1.6,3.2
"2016Q3",0.4,0.4,-0.2,0.7,0.4,0.4,0.4,0.4,-1.7,-0.4,0.3,0.0,0.4,1.2,3.0
"2016Q4",0.5,0.5,0.6,0.4,0.5,0.5,0.5,0.5,-2.0,-0.2,0.4,0.6,0.3,1.4,4.1
"2017Q1",0.9,0.9,0.8,0.7,0.8,0.8,0.7,0.7,-1.4,0.0,0.6,0.6,0.6,1.3,4.1
"2017Q2",-0.1,0.0,-0.9,0.5,0.0,0.1,0.1,0.1,-2.8,-0.7,0.1,-0.7,0.4,0.9,1.8
"2017Q3",0.5,0.5,0.2,0.7,0.5,0.5,0.5,0.5,-1.6,0.0,0.4,0.0,0.5,1.2,3.2
"2017Q4",0.5,0.5,0.2,0.4,0.4,0.4,0.4,0.4,-2.6,-0.1,0.2,0.0,0.2,1.3,4.0
"2018Q1",0.6,0.6,0.2,0.8,0.6,0.6,0.6,0.6,-2.0,0.0,0.5,0.1,0.5,1.4,3.0
"2018Q2",0.3,0.4,0.1,0.6,0.5,0.5,0.5,0.5,-3.4,0.0,0.6,0.2,0.7,1.1,3.1
"2018Q3",0.8,0.8,0.9,0.7,0.8,0.8,0.7,0.6,-1.3,-0.1,0.5,0.2,0.6,1.3,5.1
"2018Q4",0.3,0.2,-0.2,0.5,0.2,0.2,0.2,0.2,-2.2,-0.5,0.1,-0.5,0.3,0.9,2.8
"2019Q1",0.1,0.2,-1.2,0.8,0.3,0.4,0.4,0.5,-5.7,0.0,0.5,0.0,0.6,1.3,3.1
"2019Q2",0.6,0.7,0.8,0.6,0.7,0.7,0.6,0.6,-2.1,0.0,0.6,0.4,0.7,1.2,4.6
"2019Q3",0.6,0.6,0.0,0.9,0.6,0.5,0.5,0.5,-1.4,-0.1,0.6,0.0,0.6,1.2,3.7
"2019Q4",0.5,0.5,0.0,0.4,0.4,0.4,0.4,0.4,-1.6,-0.2,0.4,0.0,0.4,1.1,2.9
"2020Q1",0.8,0.7,0.2,1.0,0.7,0.7,0.7,0.7,-2.4,0.0,0.9,0.0,1.1,1.3,3.7
"2020Q2",-0.5,-0.3,-1.6,0.5,-0.1,0.1,0.1,0.2,-4.8,-0.8,0.3,-0.5,0.5,1.0,2.3
"2020Q3",0.4,0.4,0.1,0.5,0.4,0.4,0.4,0.4,-2.4,0.0,0.3,0.0,0.4,1.3,2.6
"2020Q4",0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,-1.3,0.0,0.5,0.2,0.6,1.3,2.5
"2021Q1",0.9,0.8,1.0,0.8,0.8,0.8,0.8,0.8,-1.5,0.0,0.8,0.7,0.9,1.3,4.1
"2021Q2",1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,-1.1,0.0,0.9,0.7,0.9,2.4,4.6
"2021Q3",1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.3,-0.6,0.0,0.8,1.0,0.7,3.4,6.5
"2021Q4",1.7,1.6,1.9,1.4,1.5,1.5,1.4,1.4,-1.1,0.0,1.0,1.2,1.0,2.9,5.8
"Table information:"
"Units:"
"Percent, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"CPI021AA"
""
"Last updated:"
"27 January 2022 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
