year,MW,AW
96,0.576745356,
97,0.57120438,
98,0.552863721,
99,0.542594887,
00,0.534096458,
01,0.540729738,
02,0.537341019,
03,0.533066942,
04,0.525262617,
05,0.521502641,
06,0.517280197,
07,0.504768895,0.257716826
08,0.509558496,0.252836245
09,0.513302948,0.249631943
10,0.512228076,0.242171102
11,0.505698173,0.239178495
12,0.506052377,0.237412954
13,0.478531083,0.231287482
14,0.479641348,0.233060528
15,0.476228027,0.23368502
16,0.47355442,0.23318663
17,0.4686838,0.232517094
18,0.455981373,0.23133167
19,0.454020259,0.226519554
20,0.866194732,0.423076264
21,0.598077491,0.289052431
22,0.489523548,0.243061317
23,0.47860379,0.253541911
24,0.510016132,0.262317457
