"CPI All Groups for New Zealand, percentage change (Qrtly-Mar/Jun/Sep/Dec)",""
"","All groups"
" ","Percentage change from same period previous year"
"2014Q1",1.5
"2014Q2",1.6
"2014Q3",1.0
"2014Q4",0.8
"2015Q1",0.3
"2015Q2",0.4
"2015Q3",0.4
"2015Q4",0.1
"2016Q1",0.4
"2016Q2",0.4
"2016Q3",0.4
"2016Q4",1.3
"2017Q1",2.2
"2017Q2",1.7
"2017Q3",1.9
"2017Q4",1.6
"2018Q1",1.1
"2018Q2",1.5
"2018Q3",1.9
"2018Q4",1.9
"2019Q1",1.5
"2019Q2",1.7
"2019Q3",1.5
"2019Q4",1.9
"2020Q1",2.5
"2020Q2",1.5
"2020Q3",1.4
"2020Q4",1.4
"2021Q1",1.5
"2021Q2",3.3
"2021Q3",4.9
"2021Q4",5.9
"2022Q1",6.9
"2022Q2",7.3
"2022Q3",7.2
"2022Q4",7.2
"2023Q1",6.7
"2023Q2",6.0
"2023Q3",5.6
"2023Q4",4.7
"2024Q1",4.0
"2024Q2",3.3
"2024Q3",2.2
"Table information:"
"Units:"
"Percent, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"CPI035AA"
""
"Last updated:"
"16 October 2024 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
