"","date","series","value"
"1",1994-01-04,"Cash Rate Target",4.75
"2",1994-01-05,"Cash Rate Target",4.75
"3",1994-01-06,"Cash Rate Target",4.75
"4",1994-01-07,"Cash Rate Target",4.75
"5",1994-01-10,"Cash Rate Target",4.75
"6",1994-01-11,"Cash Rate Target",4.75
"7",1994-01-12,"Cash Rate Target",4.75
"8",1994-01-13,"Cash Rate Target",4.75
"9",1994-01-14,"Cash Rate Target",4.75
"10",1994-01-17,"Cash Rate Target",4.75
"11",1994-01-18,"Cash Rate Target",4.75
"12",1994-01-19,"Cash Rate Target",4.75
"13",1994-01-20,"Cash Rate Target",4.75
"14",1994-01-21,"Cash Rate Target",4.75
"15",1994-01-24,"Cash Rate Target",4.75
"16",1994-01-25,"Cash Rate Target",4.75
"17",1994-01-27,"Cash Rate Target",4.75
"18",1994-01-28,"Cash Rate Target",4.75
"19",1994-01-31,"Cash Rate Target",4.75
"20",1994-02-01,"Cash Rate Target",4.75
"21",1994-02-02,"Cash Rate Target",4.75
"22",1994-02-03,"Cash Rate Target",4.75
"23",1994-02-04,"Cash Rate Target",4.75
"24",1994-02-07,"Cash Rate Target",4.75
"25",1994-02-08,"Cash Rate Target",4.75
"26",1994-02-09,"Cash Rate Target",4.75
"27",1994-02-10,"Cash Rate Target",4.75
"28",1994-02-11,"Cash Rate Target",4.75
"29",1994-02-14,"Cash Rate Target",4.75
"30",1994-02-15,"Cash Rate Target",4.75
"31",1994-02-16,"Cash Rate Target",4.75
"32",1994-02-17,"Cash Rate Target",4.75
"33",1994-02-18,"Cash Rate Target",4.75
"34",1994-02-21,"Cash Rate Target",4.75
"35",1994-02-22,"Cash Rate Target",4.75
"36",1994-02-23,"Cash Rate Target",4.75
"37",1994-02-24,"Cash Rate Target",4.75
"38",1994-02-25,"Cash Rate Target",4.75
"39",1994-02-28,"Cash Rate Target",4.75
"40",1994-03-01,"Cash Rate Target",4.75
"41",1994-03-02,"Cash Rate Target",4.75
"42",1994-03-03,"Cash Rate Target",4.75
"43",1994-03-04,"Cash Rate Target",4.75
"44",1994-03-07,"Cash Rate Target",4.75
"45",1994-03-08,"Cash Rate Target",4.75
"46",1994-03-09,"Cash Rate Target",4.75
"47",1994-03-10,"Cash Rate Target",4.75
"48",1994-03-11,"Cash Rate Target",4.75
"49",1994-03-14,"Cash Rate Target",4.75
"50",1994-03-15,"Cash Rate Target",4.75
"51",1994-03-16,"Cash Rate Target",4.75
"52",1994-03-17,"Cash Rate Target",4.75
"53",1994-03-18,"Cash Rate Target",4.75
"54",1994-03-21,"Cash Rate Target",4.75
"55",1994-03-22,"Cash Rate Target",4.75
"56",1994-03-23,"Cash Rate Target",4.75
"57",1994-03-24,"Cash Rate Target",4.75
"58",1994-03-25,"Cash Rate Target",4.75
"59",1994-03-28,"Cash Rate Target",4.75
"60",1994-03-29,"Cash Rate Target",4.75
"61",1994-03-30,"Cash Rate Target",4.75
"62",1994-03-31,"Cash Rate Target",4.75
"63",1994-04-05,"Cash Rate Target",4.75
"64",1994-04-06,"Cash Rate Target",4.75
"65",1994-04-07,"Cash Rate Target",4.75
"66",1994-04-08,"Cash Rate Target",4.75
"67",1994-04-11,"Cash Rate Target",4.75
"68",1994-04-12,"Cash Rate Target",4.75
"69",1994-04-13,"Cash Rate Target",4.75
"70",1994-04-14,"Cash Rate Target",4.75
"71",1994-04-15,"Cash Rate Target",4.75
"72",1994-04-18,"Cash Rate Target",4.75
"73",1994-04-19,"Cash Rate Target",4.75
"74",1994-04-20,"Cash Rate Target",4.75
"75",1994-04-21,"Cash Rate Target",4.75
"76",1994-04-22,"Cash Rate Target",4.75
"77",1994-04-26,"Cash Rate Target",4.75
"78",1994-04-27,"Cash Rate Target",4.75
"79",1994-04-28,"Cash Rate Target",4.75
"80",1994-04-29,"Cash Rate Target",4.75
"81",1994-05-02,"Cash Rate Target",4.75
"82",1994-05-03,"Cash Rate Target",4.75
"83",1994-05-04,"Cash Rate Target",4.75
"84",1994-05-05,"Cash Rate Target",4.75
"85",1994-05-06,"Cash Rate Target",4.75
"86",1994-05-09,"Cash Rate Target",4.75
"87",1994-05-10,"Cash Rate Target",4.75
"88",1994-05-11,"Cash Rate Target",4.75
"89",1994-05-12,"Cash Rate Target",4.75
"90",1994-05-13,"Cash Rate Target",4.75
"91",1994-05-16,"Cash Rate Target",4.75
"92",1994-05-17,"Cash Rate Target",4.75
"93",1994-05-18,"Cash Rate Target",4.75
"94",1994-05-19,"Cash Rate Target",4.75
"95",1994-05-20,"Cash Rate Target",4.75
"96",1994-05-23,"Cash Rate Target",4.75
"97",1994-05-24,"Cash Rate Target",4.75
"98",1994-05-25,"Cash Rate Target",4.75
"99",1994-05-26,"Cash Rate Target",4.75
"100",1994-05-27,"Cash Rate Target",4.75
"101",1994-05-30,"Cash Rate Target",4.75
"102",1994-05-31,"Cash Rate Target",4.75
"103",1994-06-01,"Cash Rate Target",4.75
"104",1994-06-02,"Cash Rate Target",4.75
"105",1994-06-03,"Cash Rate Target",4.75
"106",1994-06-06,"Cash Rate Target",4.75
"107",1994-06-07,"Cash Rate Target",4.75
"108",1994-06-08,"Cash Rate Target",4.75
"109",1994-06-09,"Cash Rate Target",4.75
"110",1994-06-10,"Cash Rate Target",4.75
"111",1994-06-14,"Cash Rate Target",4.75
"112",1994-06-15,"Cash Rate Target",4.75
"113",1994-06-16,"Cash Rate Target",4.75
"114",1994-06-17,"Cash Rate Target",4.75
"115",1994-06-20,"Cash Rate Target",4.75
"116",1994-06-21,"Cash Rate Target",4.75
"117",1994-06-22,"Cash Rate Target",4.75
"118",1994-06-23,"Cash Rate Target",4.75
"119",1994-06-24,"Cash Rate Target",4.75
"120",1994-06-27,"Cash Rate Target",4.75
"121",1994-06-28,"Cash Rate Target",4.75
"122",1994-06-29,"Cash Rate Target",4.75
"123",1994-06-30,"Cash Rate Target",4.75
"124",1994-07-01,"Cash Rate Target",4.75
"125",1994-07-04,"Cash Rate Target",4.75
"126",1994-07-05,"Cash Rate Target",4.75
"127",1994-07-06,"Cash Rate Target",4.75
"128",1994-07-07,"Cash Rate Target",4.75
"129",1994-07-08,"Cash Rate Target",4.75
"130",1994-07-11,"Cash Rate Target",4.75
"131",1994-07-12,"Cash Rate Target",4.75
"132",1994-07-13,"Cash Rate Target",4.75
"133",1994-07-14,"Cash Rate Target",4.75
"134",1994-07-15,"Cash Rate Target",4.75
"135",1994-07-18,"Cash Rate Target",4.75
"136",1994-07-19,"Cash Rate Target",4.75
"137",1994-07-20,"Cash Rate Target",4.75
"138",1994-07-21,"Cash Rate Target",4.75
"139",1994-07-22,"Cash Rate Target",4.75
"140",1994-07-25,"Cash Rate Target",4.75
"141",1994-07-26,"Cash Rate Target",4.75
"142",1994-07-27,"Cash Rate Target",4.75
"143",1994-07-28,"Cash Rate Target",4.75
"144",1994-07-29,"Cash Rate Target",4.75
"145",1994-08-01,"Cash Rate Target",4.75
"146",1994-08-02,"Cash Rate Target",4.75
"147",1994-08-03,"Cash Rate Target",4.75
"148",1994-08-04,"Cash Rate Target",4.75
"149",1994-08-05,"Cash Rate Target",4.75
"150",1994-08-08,"Cash Rate Target",4.75
"151",1994-08-09,"Cash Rate Target",4.75
"152",1994-08-10,"Cash Rate Target",4.75
"153",1994-08-11,"Cash Rate Target",4.75
"154",1994-08-12,"Cash Rate Target",4.75
"155",1994-08-15,"Cash Rate Target",4.75
"156",1994-08-16,"Cash Rate Target",4.75
"157",1994-08-17,"Cash Rate Target",5.5
"158",1994-08-18,"Cash Rate Target",5.5
"159",1994-08-19,"Cash Rate Target",5.5
"160",1994-08-22,"Cash Rate Target",5.5
"161",1994-08-23,"Cash Rate Target",5.5
"162",1994-08-24,"Cash Rate Target",5.5
"163",1994-08-25,"Cash Rate Target",5.5
"164",1994-08-26,"Cash Rate Target",5.5
"165",1994-08-29,"Cash Rate Target",5.5
"166",1994-08-30,"Cash Rate Target",5.5
"167",1994-08-31,"Cash Rate Target",5.5
"168",1994-09-01,"Cash Rate Target",5.5
"169",1994-09-02,"Cash Rate Target",5.5
"170",1994-09-05,"Cash Rate Target",5.5
"171",1994-09-06,"Cash Rate Target",5.5
"172",1994-09-07,"Cash Rate Target",5.5
"173",1994-09-08,"Cash Rate Target",5.5
"174",1994-09-09,"Cash Rate Target",5.5
"175",1994-09-12,"Cash Rate Target",5.5
"176",1994-09-13,"Cash Rate Target",5.5
"177",1994-09-14,"Cash Rate Target",5.5
"178",1994-09-15,"Cash Rate Target",5.5
"179",1994-09-16,"Cash Rate Target",5.5
"180",1994-09-19,"Cash Rate Target",5.5
"181",1994-09-20,"Cash Rate Target",5.5
"182",1994-09-21,"Cash Rate Target",5.5
"183",1994-09-22,"Cash Rate Target",5.5
"184",1994-09-23,"Cash Rate Target",5.5
"185",1994-09-26,"Cash Rate Target",5.5
"186",1994-09-27,"Cash Rate Target",5.5
"187",1994-09-28,"Cash Rate Target",5.5
"188",1994-09-29,"Cash Rate Target",5.5
"189",1994-09-30,"Cash Rate Target",5.5
"190",1994-10-03,"Cash Rate Target",5.5
"191",1994-10-04,"Cash Rate Target",5.5
"192",1994-10-05,"Cash Rate Target",5.5
"193",1994-10-06,"Cash Rate Target",5.5
"194",1994-10-07,"Cash Rate Target",5.5
"195",1994-10-10,"Cash Rate Target",5.5
"196",1994-10-11,"Cash Rate Target",5.5
"197",1994-10-12,"Cash Rate Target",5.5
"198",1994-10-13,"Cash Rate Target",5.5
"199",1994-10-14,"Cash Rate Target",5.5
"200",1994-10-17,"Cash Rate Target",5.5
"201",1994-10-18,"Cash Rate Target",5.5
"202",1994-10-19,"Cash Rate Target",5.5
"203",1994-10-20,"Cash Rate Target",5.5
"204",1994-10-21,"Cash Rate Target",5.5
"205",1994-10-24,"Cash Rate Target",6.5
"206",1994-10-25,"Cash Rate Target",6.5
"207",1994-10-26,"Cash Rate Target",6.5
"208",1994-10-27,"Cash Rate Target",6.5
"209",1994-10-28,"Cash Rate Target",6.5
"210",1994-10-31,"Cash Rate Target",6.5
"211",1994-11-01,"Cash Rate Target",6.5
"212",1994-11-02,"Cash Rate Target",6.5
"213",1994-11-03,"Cash Rate Target",6.5
"214",1994-11-04,"Cash Rate Target",6.5
"215",1994-11-07,"Cash Rate Target",6.5
"216",1994-11-08,"Cash Rate Target",6.5
"217",1994-11-09,"Cash Rate Target",6.5
"218",1994-11-10,"Cash Rate Target",6.5
"219",1994-11-11,"Cash Rate Target",6.5
"220",1994-11-14,"Cash Rate Target",6.5
"221",1994-11-15,"Cash Rate Target",6.5
"222",1994-11-16,"Cash Rate Target",6.5
"223",1994-11-17,"Cash Rate Target",6.5
"224",1994-11-18,"Cash Rate Target",6.5
"225",1994-11-21,"Cash Rate Target",6.5
"226",1994-11-22,"Cash Rate Target",6.5
"227",1994-11-23,"Cash Rate Target",6.5
"228",1994-11-24,"Cash Rate Target",6.5
"229",1994-11-25,"Cash Rate Target",6.5
"230",1994-11-28,"Cash Rate Target",6.5
"231",1994-11-29,"Cash Rate Target",6.5
"232",1994-11-30,"Cash Rate Target",6.5
"233",1994-12-01,"Cash Rate Target",6.5
"234",1994-12-02,"Cash Rate Target",6.5
"235",1994-12-05,"Cash Rate Target",6.5
"236",1994-12-06,"Cash Rate Target",6.5
"237",1994-12-07,"Cash Rate Target",6.5
"238",1994-12-08,"Cash Rate Target",6.5
"239",1994-12-09,"Cash Rate Target",6.5
"240",1994-12-12,"Cash Rate Target",6.5
"241",1994-12-13,"Cash Rate Target",6.5
"242",1994-12-14,"Cash Rate Target",7.5
"243",1994-12-15,"Cash Rate Target",7.5
"244",1994-12-16,"Cash Rate Target",7.5
"245",1994-12-19,"Cash Rate Target",7.5
"246",1994-12-20,"Cash Rate Target",7.5
"247",1994-12-21,"Cash Rate Target",7.5
"248",1994-12-22,"Cash Rate Target",7.5
"249",1994-12-23,"Cash Rate Target",7.5
"250",1994-12-28,"Cash Rate Target",7.5
"251",1994-12-29,"Cash Rate Target",7.5
"252",1994-12-30,"Cash Rate Target",7.5
"253",1995-01-03,"Cash Rate Target",7.5
"254",1995-01-04,"Cash Rate Target",7.5
"255",1995-01-05,"Cash Rate Target",7.5
"256",1995-01-06,"Cash Rate Target",7.5
"257",1995-01-09,"Cash Rate Target",7.5
"258",1995-01-10,"Cash Rate Target",7.5
"259",1995-01-11,"Cash Rate Target",7.5
"260",1995-01-12,"Cash Rate Target",7.5
"261",1995-01-13,"Cash Rate Target",7.5
"262",1995-01-16,"Cash Rate Target",7.5
"263",1995-01-17,"Cash Rate Target",7.5
"264",1995-01-18,"Cash Rate Target",7.5
"265",1995-01-19,"Cash Rate Target",7.5
"266",1995-01-20,"Cash Rate Target",7.5
"267",1995-01-23,"Cash Rate Target",7.5
"268",1995-01-24,"Cash Rate Target",7.5
"269",1995-01-25,"Cash Rate Target",7.5
"270",1995-01-27,"Cash Rate Target",7.5
"271",1995-01-30,"Cash Rate Target",7.5
"272",1995-01-31,"Cash Rate Target",7.5
"273",1995-02-01,"Cash Rate Target",7.5
"274",1995-02-02,"Cash Rate Target",7.5
"275",1995-02-03,"Cash Rate Target",7.5
"276",1995-02-06,"Cash Rate Target",7.5
"277",1995-02-07,"Cash Rate Target",7.5
"278",1995-02-08,"Cash Rate Target",7.5
"279",1995-02-09,"Cash Rate Target",7.5
"280",1995-02-10,"Cash Rate Target",7.5
"281",1995-02-13,"Cash Rate Target",7.5
"282",1995-02-14,"Cash Rate Target",7.5
"283",1995-02-15,"Cash Rate Target",7.5
"284",1995-02-16,"Cash Rate Target",7.5
"285",1995-02-17,"Cash Rate Target",7.5
"286",1995-02-20,"Cash Rate Target",7.5
"287",1995-02-21,"Cash Rate Target",7.5
"288",1995-02-22,"Cash Rate Target",7.5
"289",1995-02-23,"Cash Rate Target",7.5
"290",1995-02-24,"Cash Rate Target",7.5
"291",1995-02-27,"Cash Rate Target",7.5
"292",1995-02-28,"Cash Rate Target",7.5
"293",1995-03-01,"Cash Rate Target",7.5
"294",1995-03-02,"Cash Rate Target",7.5
"295",1995-03-03,"Cash Rate Target",7.5
"296",1995-03-06,"Cash Rate Target",7.5
"297",1995-03-07,"Cash Rate Target",7.5
"298",1995-03-08,"Cash Rate Target",7.5
"299",1995-03-09,"Cash Rate Target",7.5
"300",1995-03-10,"Cash Rate Target",7.5
"301",1995-03-13,"Cash Rate Target",7.5
"302",1995-03-14,"Cash Rate Target",7.5
"303",1995-03-15,"Cash Rate Target",7.5
"304",1995-03-16,"Cash Rate Target",7.5
"305",1995-03-17,"Cash Rate Target",7.5
"306",1995-03-20,"Cash Rate Target",7.5
"307",1995-03-21,"Cash Rate Target",7.5
"308",1995-03-22,"Cash Rate Target",7.5
"309",1995-03-23,"Cash Rate Target",7.5
"310",1995-03-24,"Cash Rate Target",7.5
"311",1995-03-27,"Cash Rate Target",7.5
"312",1995-03-28,"Cash Rate Target",7.5
"313",1995-03-29,"Cash Rate Target",7.5
"314",1995-03-30,"Cash Rate Target",7.5
"315",1995-03-31,"Cash Rate Target",7.5
"316",1995-04-03,"Cash Rate Target",7.5
"317",1995-04-04,"Cash Rate Target",7.5
"318",1995-04-05,"Cash Rate Target",7.5
"319",1995-04-06,"Cash Rate Target",7.5
"320",1995-04-07,"Cash Rate Target",7.5
"321",1995-04-10,"Cash Rate Target",7.5
"322",1995-04-11,"Cash Rate Target",7.5
"323",1995-04-12,"Cash Rate Target",7.5
"324",1995-04-13,"Cash Rate Target",7.5
"325",1995-04-18,"Cash Rate Target",7.5
"326",1995-04-19,"Cash Rate Target",7.5
"327",1995-04-20,"Cash Rate Target",7.5
"328",1995-04-21,"Cash Rate Target",7.5
"329",1995-04-24,"Cash Rate Target",7.5
"330",1995-04-26,"Cash Rate Target",7.5
"331",1995-04-27,"Cash Rate Target",7.5
"332",1995-04-28,"Cash Rate Target",7.5
"333",1995-05-01,"Cash Rate Target",7.5
"334",1995-05-02,"Cash Rate Target",7.5
"335",1995-05-03,"Cash Rate Target",7.5
"336",1995-05-04,"Cash Rate Target",7.5
"337",1995-05-05,"Cash Rate Target",7.5
"338",1995-05-08,"Cash Rate Target",7.5
"339",1995-05-09,"Cash Rate Target",7.5
"340",1995-05-10,"Cash Rate Target",7.5
"341",1995-05-11,"Cash Rate Target",7.5
"342",1995-05-12,"Cash Rate Target",7.5
"343",1995-05-15,"Cash Rate Target",7.5
"344",1995-05-16,"Cash Rate Target",7.5
"345",1995-05-17,"Cash Rate Target",7.5
"346",1995-05-18,"Cash Rate Target",7.5
"347",1995-05-19,"Cash Rate Target",7.5
"348",1995-05-22,"Cash Rate Target",7.5
"349",1995-05-23,"Cash Rate Target",7.5
"350",1995-05-24,"Cash Rate Target",7.5
"351",1995-05-25,"Cash Rate Target",7.5
"352",1995-05-26,"Cash Rate Target",7.5
"353",1995-05-29,"Cash Rate Target",7.5
"354",1995-05-30,"Cash Rate Target",7.5
"355",1995-05-31,"Cash Rate Target",7.5
"356",1995-06-01,"Cash Rate Target",7.5
"357",1995-06-02,"Cash Rate Target",7.5
"358",1995-06-05,"Cash Rate Target",7.5
"359",1995-06-06,"Cash Rate Target",7.5
"360",1995-06-07,"Cash Rate Target",7.5
"361",1995-06-08,"Cash Rate Target",7.5
"362",1995-06-09,"Cash Rate Target",7.5
"363",1995-06-13,"Cash Rate Target",7.5
"364",1995-06-14,"Cash Rate Target",7.5
"365",1995-06-15,"Cash Rate Target",7.5
"366",1995-06-16,"Cash Rate Target",7.5
"367",1995-06-19,"Cash Rate Target",7.5
"368",1995-06-20,"Cash Rate Target",7.5
"369",1995-06-21,"Cash Rate Target",7.5
"370",1995-06-22,"Cash Rate Target",7.5
"371",1995-06-23,"Cash Rate Target",7.5
"372",1995-06-26,"Cash Rate Target",7.5
"373",1995-06-27,"Cash Rate Target",7.5
"374",1995-06-28,"Cash Rate Target",7.5
"375",1995-06-29,"Cash Rate Target",7.5
"376",1995-06-30,"Cash Rate Target",7.5
"377",1995-07-03,"Cash Rate Target",7.5
"378",1995-07-04,"Cash Rate Target",7.5
"379",1995-07-05,"Cash Rate Target",7.5
"380",1995-07-06,"Cash Rate Target",7.5
"381",1995-07-07,"Cash Rate Target",7.5
"382",1995-07-10,"Cash Rate Target",7.5
"383",1995-07-11,"Cash Rate Target",7.5
"384",1995-07-12,"Cash Rate Target",7.5
"385",1995-07-13,"Cash Rate Target",7.5
"386",1995-07-14,"Cash Rate Target",7.5
"387",1995-07-17,"Cash Rate Target",7.5
"388",1995-07-18,"Cash Rate Target",7.5
"389",1995-07-19,"Cash Rate Target",7.5
"390",1995-07-20,"Cash Rate Target",7.5
"391",1995-07-21,"Cash Rate Target",7.5
"392",1995-07-24,"Cash Rate Target",7.5
"393",1995-07-25,"Cash Rate Target",7.5
"394",1995-07-26,"Cash Rate Target",7.5
"395",1995-07-27,"Cash Rate Target",7.5
"396",1995-07-28,"Cash Rate Target",7.5
"397",1995-07-31,"Cash Rate Target",7.5
"398",1995-08-01,"Cash Rate Target",7.5
"399",1995-08-02,"Cash Rate Target",7.5
"400",1995-08-03,"Cash Rate Target",7.5
"401",1995-08-04,"Cash Rate Target",7.5
"402",1995-08-07,"Cash Rate Target",7.5
"403",1995-08-08,"Cash Rate Target",7.5
"404",1995-08-09,"Cash Rate Target",7.5
"405",1995-08-10,"Cash Rate Target",7.5
"406",1995-08-11,"Cash Rate Target",7.5
"407",1995-08-14,"Cash Rate Target",7.5
"408",1995-08-15,"Cash Rate Target",7.5
"409",1995-08-16,"Cash Rate Target",7.5
"410",1995-08-17,"Cash Rate Target",7.5
"411",1995-08-18,"Cash Rate Target",7.5
"412",1995-08-21,"Cash Rate Target",7.5
"413",1995-08-22,"Cash Rate Target",7.5
"414",1995-08-23,"Cash Rate Target",7.5
"415",1995-08-24,"Cash Rate Target",7.5
"416",1995-08-25,"Cash Rate Target",7.5
"417",1995-08-28,"Cash Rate Target",7.5
"418",1995-08-29,"Cash Rate Target",7.5
"419",1995-08-30,"Cash Rate Target",7.5
"420",1995-08-31,"Cash Rate Target",7.5
"421",1995-09-01,"Cash Rate Target",7.5
"422",1995-09-04,"Cash Rate Target",7.5
"423",1995-09-05,"Cash Rate Target",7.5
"424",1995-09-06,"Cash Rate Target",7.5
"425",1995-09-07,"Cash Rate Target",7.5
"426",1995-09-08,"Cash Rate Target",7.5
"427",1995-09-11,"Cash Rate Target",7.5
"428",1995-09-12,"Cash Rate Target",7.5
"429",1995-09-13,"Cash Rate Target",7.5
"430",1995-09-14,"Cash Rate Target",7.5
"431",1995-09-15,"Cash Rate Target",7.5
"432",1995-09-18,"Cash Rate Target",7.5
"433",1995-09-19,"Cash Rate Target",7.5
"434",1995-09-20,"Cash Rate Target",7.5
"435",1995-09-21,"Cash Rate Target",7.5
"436",1995-09-22,"Cash Rate Target",7.5
"437",1995-09-25,"Cash Rate Target",7.5
"438",1995-09-26,"Cash Rate Target",7.5
"439",1995-09-27,"Cash Rate Target",7.5
"440",1995-09-28,"Cash Rate Target",7.5
"441",1995-09-29,"Cash Rate Target",7.5
"442",1995-10-02,"Cash Rate Target",7.5
"443",1995-10-03,"Cash Rate Target",7.5
"444",1995-10-04,"Cash Rate Target",7.5
"445",1995-10-05,"Cash Rate Target",7.5
"446",1995-10-06,"Cash Rate Target",7.5
"447",1995-10-09,"Cash Rate Target",7.5
"448",1995-10-10,"Cash Rate Target",7.5
"449",1995-10-11,"Cash Rate Target",7.5
"450",1995-10-12,"Cash Rate Target",7.5
"451",1995-10-13,"Cash Rate Target",7.5
"452",1995-10-16,"Cash Rate Target",7.5
"453",1995-10-17,"Cash Rate Target",7.5
"454",1995-10-18,"Cash Rate Target",7.5
"455",1995-10-19,"Cash Rate Target",7.5
"456",1995-10-20,"Cash Rate Target",7.5
"457",1995-10-23,"Cash Rate Target",7.5
"458",1995-10-24,"Cash Rate Target",7.5
"459",1995-10-25,"Cash Rate Target",7.5
"460",1995-10-26,"Cash Rate Target",7.5
"461",1995-10-27,"Cash Rate Target",7.5
"462",1995-10-30,"Cash Rate Target",7.5
"463",1995-10-31,"Cash Rate Target",7.5
"464",1995-11-01,"Cash Rate Target",7.5
"465",1995-11-02,"Cash Rate Target",7.5
"466",1995-11-03,"Cash Rate Target",7.5
"467",1995-11-06,"Cash Rate Target",7.5
"468",1995-11-07,"Cash Rate Target",7.5
"469",1995-11-08,"Cash Rate Target",7.5
"470",1995-11-09,"Cash Rate Target",7.5
"471",1995-11-10,"Cash Rate Target",7.5
"472",1995-11-13,"Cash Rate Target",7.5
"473",1995-11-14,"Cash Rate Target",7.5
"474",1995-11-15,"Cash Rate Target",7.5
"475",1995-11-16,"Cash Rate Target",7.5
"476",1995-11-17,"Cash Rate Target",7.5
"477",1995-11-20,"Cash Rate Target",7.5
"478",1995-11-21,"Cash Rate Target",7.5
"479",1995-11-22,"Cash Rate Target",7.5
"480",1995-11-23,"Cash Rate Target",7.5
"481",1995-11-24,"Cash Rate Target",7.5
"482",1995-11-27,"Cash Rate Target",7.5
"483",1995-11-28,"Cash Rate Target",7.5
"484",1995-11-29,"Cash Rate Target",7.5
"485",1995-11-30,"Cash Rate Target",7.5
"486",1995-12-01,"Cash Rate Target",7.5
"487",1995-12-04,"Cash Rate Target",7.5
"488",1995-12-05,"Cash Rate Target",7.5
"489",1995-12-06,"Cash Rate Target",7.5
"490",1995-12-07,"Cash Rate Target",7.5
"491",1995-12-08,"Cash Rate Target",7.5
"492",1995-12-11,"Cash Rate Target",7.5
"493",1995-12-12,"Cash Rate Target",7.5
"494",1995-12-13,"Cash Rate Target",7.5
"495",1995-12-14,"Cash Rate Target",7.5
"496",1995-12-15,"Cash Rate Target",7.5
"497",1995-12-18,"Cash Rate Target",7.5
"498",1995-12-19,"Cash Rate Target",7.5
"499",1995-12-20,"Cash Rate Target",7.5
"500",1995-12-21,"Cash Rate Target",7.5
"501",1995-12-22,"Cash Rate Target",7.5
"502",1995-12-27,"Cash Rate Target",7.5
"503",1995-12-28,"Cash Rate Target",7.5
"504",1995-12-29,"Cash Rate Target",7.5
"505",1996-01-02,"Cash Rate Target",7.5
"506",1996-01-03,"Cash Rate Target",7.5
"507",1996-01-04,"Cash Rate Target",7.5
"508",1996-01-05,"Cash Rate Target",7.5
"509",1996-01-08,"Cash Rate Target",7.5
"510",1996-01-09,"Cash Rate Target",7.5
"511",1996-01-10,"Cash Rate Target",7.5
"512",1996-01-11,"Cash Rate Target",7.5
"513",1996-01-12,"Cash Rate Target",7.5
"514",1996-01-15,"Cash Rate Target",7.5
"515",1996-01-16,"Cash Rate Target",7.5
"516",1996-01-17,"Cash Rate Target",7.5
"517",1996-01-18,"Cash Rate Target",7.5
"518",1996-01-19,"Cash Rate Target",7.5
"519",1996-01-22,"Cash Rate Target",7.5
"520",1996-01-23,"Cash Rate Target",7.5
"521",1996-01-24,"Cash Rate Target",7.5
"522",1996-01-25,"Cash Rate Target",7.5
"523",1996-01-29,"Cash Rate Target",7.5
"524",1996-01-30,"Cash Rate Target",7.5
"525",1996-01-31,"Cash Rate Target",7.5
"526",1996-02-01,"Cash Rate Target",7.5
"527",1996-02-02,"Cash Rate Target",7.5
"528",1996-02-05,"Cash Rate Target",7.5
"529",1996-02-06,"Cash Rate Target",7.5
"530",1996-02-07,"Cash Rate Target",7.5
"531",1996-02-08,"Cash Rate Target",7.5
"532",1996-02-09,"Cash Rate Target",7.5
"533",1996-02-12,"Cash Rate Target",7.5
"534",1996-02-13,"Cash Rate Target",7.5
"535",1996-02-14,"Cash Rate Target",7.5
"536",1996-02-15,"Cash Rate Target",7.5
"537",1996-02-16,"Cash Rate Target",7.5
"538",1996-02-19,"Cash Rate Target",7.5
"539",1996-02-20,"Cash Rate Target",7.5
"540",1996-02-21,"Cash Rate Target",7.5
"541",1996-02-22,"Cash Rate Target",7.5
"542",1996-02-23,"Cash Rate Target",7.5
"543",1996-02-26,"Cash Rate Target",7.5
"544",1996-02-27,"Cash Rate Target",7.5
"545",1996-02-28,"Cash Rate Target",7.5
"546",1996-02-29,"Cash Rate Target",7.5
"547",1996-03-01,"Cash Rate Target",7.5
"548",1996-03-04,"Cash Rate Target",7.5
"549",1996-03-05,"Cash Rate Target",7.5
"550",1996-03-06,"Cash Rate Target",7.5
"551",1996-03-07,"Cash Rate Target",7.5
"552",1996-03-08,"Cash Rate Target",7.5
"553",1996-03-11,"Cash Rate Target",7.5
"554",1996-03-12,"Cash Rate Target",7.5
"555",1996-03-13,"Cash Rate Target",7.5
"556",1996-03-14,"Cash Rate Target",7.5
"557",1996-03-15,"Cash Rate Target",7.5
"558",1996-03-18,"Cash Rate Target",7.5
"559",1996-03-19,"Cash Rate Target",7.5
"560",1996-03-20,"Cash Rate Target",7.5
"561",1996-03-21,"Cash Rate Target",7.5
"562",1996-03-22,"Cash Rate Target",7.5
"563",1996-03-25,"Cash Rate Target",7.5
"564",1996-03-26,"Cash Rate Target",7.5
"565",1996-03-27,"Cash Rate Target",7.5
"566",1996-03-28,"Cash Rate Target",7.5
"567",1996-03-29,"Cash Rate Target",7.5
"568",1996-04-01,"Cash Rate Target",7.5
"569",1996-04-02,"Cash Rate Target",7.5
"570",1996-04-03,"Cash Rate Target",7.5
"571",1996-04-04,"Cash Rate Target",7.5
"572",1996-04-09,"Cash Rate Target",7.5
"573",1996-04-10,"Cash Rate Target",7.5
"574",1996-04-11,"Cash Rate Target",7.5
"575",1996-04-12,"Cash Rate Target",7.5
"576",1996-04-15,"Cash Rate Target",7.5
"577",1996-04-16,"Cash Rate Target",7.5
"578",1996-04-17,"Cash Rate Target",7.5
"579",1996-04-18,"Cash Rate Target",7.5
"580",1996-04-19,"Cash Rate Target",7.5
"581",1996-04-22,"Cash Rate Target",7.5
"582",1996-04-23,"Cash Rate Target",7.5
