fyear,wageinc_control,wageinc_treated
2003,54843.63766977176,47621.54081285623
2004,57337.74235882127,49731.163032977864
2005,57812.444772599265,50655.71058906161
2006,59939.28299407915,52592.88363942458
2007,62584.23692235914,55455.23730973006
2008,64155.53862325413,56221.123447802485
2009,66027.47976691477,52090.71653535261
2010,64861.67232773837,40706.30847320301
2011,65622.49203451224,44572.129157767864
2012,65459.85886266902,46387.306444818474
2013,65312.47407042485,47189.769074750155
2014,64698.86796181077,47093.04456554397
2015,64263.39508532,47799.02314180537
2016,64409.95397337749,48120.23870274508
2017,63062.508441323684,47928.920397489004
2018,62508.8041123407,48350.530173894884
2019,62187.09814041657,49440.71943042328
2020,61081.279512053654,48384.70981188894
2021,60383.77589779994,49671.243349525794
2022,NA,NA
2002,52858.54680665588,46075.41827729175
