fyear,wageinc_control,wageinc_treated
2011,68985.6686596788,55154.64491043967
2012,69719.20399860704,58153.2903382322
2013,70615.52917228354,60030.0654426725
2014,71047.00820606276,60977.043006253414
2015,71880.35827003494,62646.216944064196
2017,73315.01981476806,64527.45863098605
2018,74299.23781174666,66047.43350228848
2019,75123.76454721471,68229.02841864011
2010,67262.62856023193,49864.505335869726
2016,73480.6320072972,63986.10523837001
2002,53130.1663861349,46865.81554818956
2003,55213.81889556162,48697.69773530217
2004,57826.36428910516,51102.17466657949
2005,58410.05458136673,52104.6139528478
2006,60529.006958963844,54182.82724702165
2007,63434.82373501283,57257.595330418175
2008,65131.47005577962,58029.37901782001
2009,67544.42896710859,57138.75471214287
