group,ER,fyear
treated,1,2002
treated,1,2003
treated,1,2004
treated,1,2005
treated,1,2006
treated,1,2007
treated,1,2008
treated,1,2009
treated,0.7751145038167939,2010
treated,0.7883969465648855,2011
treated,0.7835114503816794,2012
treated,0.7815267175572519,2013
treated,0.7725190839694657,2014
treated,0.7693129770992366,2015
treated,0.7604580152671756,2016
treated,0.7554198473282443,2017
treated,0.7479389312977099,2018
treated,0.7409160305343512,2019
treated,0.7334351145038168,2020
treated,0.7250381679389313,2021
treated,0.7155725190839695,2022
control,1,2002
control,1,2003
control,1,2004
control,1,2005
control,1,2006
control,1,2007
control,1,2008
control,1,2009
control,0.9715118346702494,2010
control,0.9532639190737741,2011
control,0.9387491603113763,2012
control,0.9250079029517525,2013
control,0.9120263168293358,2014
control,0.898879756589086,2015
control,0.882927648476706,2016
control,0.868984865847394,2017
control,0.8520231556486347,2018
control,0.8360680839293476,2019
control,0.8194027344213064,2020
control,0.801928320227605,2021
control,0.7842197810882364,2022
