"Estimated migrant arrivals by citizenship, visa type and CLPR, 12/16-month rule (Monthly)",
,Arrivals
,New Zealand
,TOTAL
,Australia
,Estimate
2001M01,707
2001M02,587
2001M03,606
2001M04,612
2001M05,578
2001M06,624
2001M07,636
2001M08,653
2001M09,720
2001M10,788
2001M11,774
2001M12,"1,528"
2002M01,780
2002M02,748
2002M03,756
2002M04,539
2002M05,690
2002M06,673
2002M07,644
2002M08,721
2002M09,786
2002M10,805
2002M11,852
2002M12,"1,756"
2003M01,816
2003M02,839
2003M03,788
2003M04,733
2003M05,734
2003M06,664
2003M07,728
2003M08,803
2003M09,848
2003M10,768
2003M11,899
2003M12,"1,778"
2004M01,936
2004M02,748
2004M03,710
2004M04,667
2004M05,636
2004M06,602
2004M07,684
2004M08,650
2004M09,751
2004M10,741
2004M11,771
2004M12,"1,715"
2005M01,869
2005M02,716
2005M03,616
2005M04,615
2005M05,560
2005M06,646
2005M07,653
2005M08,595
2005M09,721
2005M10,720
2005M11,697
2005M12,"1,680"
2006M01,871
2006M02,677
2006M03,655
2006M04,632
2006M05,575
2006M06,569
2006M07,658
2006M08,688
2006M09,832
2006M10,715
2006M11,790
2006M12,"1,638"
2007M01,861
2007M02,733
2007M03,663
2007M04,571
2007M05,620
2007M06,614
2007M07,607
2007M08,729
2007M09,768
2007M10,775
2007M11,796
2007M12,"1,586"
2008M01,765
2008M02,663
2008M03,669
2008M04,575
2008M05,624
2008M06,549
2008M07,636
2008M08,722
2008M09,760
2008M10,833
2008M11,798
2008M12,"1,754"
2009M01,870
2009M02,801
2009M03,774
2009M04,738
2009M05,790
2009M06,775
2009M07,818
2009M08,950
2009M09,901
2009M10,999
2009M11,"1,006"
2009M12,"1,885"
2010M01,"1,020"
2010M02,906
2010M03,955
2010M04,856
2010M05,783
2010M06,734
2010M07,896
2010M08,791
2010M09,930
2010M10,858
2010M11,911
2010M12,"1,815"
2011M01,975
2011M02,745
2011M03,714
2011M04,713
2011M05,620
2011M06,572
2011M07,695
2011M08,886
2011M09,830
2011M10,817
2011M11,819
2011M12,"1,766"
2012M01,839
2012M02,826
2012M03,800
2012M04,704
2012M05,687
2012M06,766
2012M07,871
2012M08,869
2012M09,"1,009"
2012M10,961
2012M11,"1,140"
2012M12,"2,229"
2013M01,"1,129"
2013M02,986
2013M03,"1,127"
2013M04,991
2013M05,967
2013M06,"1,012"
2013M07,"1,193"
2013M08,"1,353"
2013M09,"1,426"
2013M10,"1,337"
2013M11,"1,441"
2013M12,"2,892"
2014M01,"1,415"
2014M02,"1,428"
2014M03,"1,357"
